survey_datetime,survey_start,survey_end,encounter_datetime,survey_id,agency,catch_area_code,catch_result_type_code,common_name,adipose_clip_status_code,latitude_decimal_degrees_wgs84,longitude_decimal_degrees_wgs84,individual_fish_id,target_species
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:10:29Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.743738,-122.456105,C77221C3-6A8E-43AF-8A5D-EBC332BC6321,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:12:51Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Pacific sanddab,UN,47.742281,-122.455655,C66F47F0-C257-4A8C-9881-9C3FDBEF3BBC,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:19:58Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.738107,-122.454032,997CBA6E-6281-4F88-AABC-504628C0004B,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:25:32Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,AD,47.735982,-122.458722,CB9BE5C4-D557-43BF-ADCC-CF3906F673C5,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:28:57Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.735658,-122.457221,6B71A769-7631-4D8B-8C90-210EE1BC4191,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:33:56Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,AD,47.735412,-122.454576,00DF91AB-7767-4C8D-9D78-2E21D710FDAA,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:38:41Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.735369,-122.451442,1ED85486-AD82-4B70-8451-79B949348D46,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:44:48Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Coho Salmon,UM,47.737852,-122.453604,B2CFE566-3FBE-4F03-B0F6-1BCB7E67B433,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:47:40Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,UD,47.738312,-122.452205,417C1099-C45C-4AD9-ADBD-0E0E19DF7630,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:51:27Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Coho Salmon,UM,47.73862,-122.451408,A18460E5-83D3-4500-B38C-0D530117BBED,Chinook salmon
