analysis_id,project_name,fishery_name,section_num,min_event_date,max_event_date,period,day_type,angler_final,est_cg,model_type,estimate_category,estimate_type,estimate_value,data_grade,catch_area_code,catch_area_description,estimate_time_period
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,number_observations,3,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,catch_estimate_mean,0,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,catch_estimate_variance,0,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,total_days_open,4,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,degrees_freedom,21,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,estimate_stratum,0,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,number_observations,1,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,catch_estimate_mean,0,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,catch_estimate_variance,0,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,total_days_open,4,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,degrees_freedom,21,Provisional,786,Nisqually River,week
23838e9d-aaa8-4706-b857-bd1e251d2a85,District 11,Nisqually salmon 2023,1,2023-08-01,2023-08-06,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,PE,catch,estimate_stratum,0,Provisional,786,Nisqually River,week
