analysis_id,project_name,fishery_name,model_type,estimate_category,est_cg,estimate_type,estimate_value,min_event_date,max_event_date,data_grade,estimate_time_period
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,PE,catch,Chinook_Adult_AD_Kept|Released,estimate_sum,1751.0821666666666,2023-08-01,2023-10-15,Provisional,week
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,mean,2045.075,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,standard_error_mean,21.711348633017934,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,standard_deviation,329.44291241076724,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,quantile_lower_2_5,1551.625,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,quantile_lower_25,1844,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,quantile_median_50,1974.5,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,quantile_upper_75,2198,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,quantile_upper_97_5,2810.5750000000007,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,n_eff,230.2431588404106,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,R_hat,0.9972303298206947,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,C_sum,Chinook_Adult_AD_Kept|Released,n_div,2,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,PE,effort,NA,estimate_sum,60359.004072581294,2023-08-01,2023-10-15,Provisional,week
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,mean,58239.389840490214,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,standard_error_mean,316.8983970068449,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,standard_deviation,4248.9543423993155,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,quantile_lower_2_5,49179.61354759512,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,quantile_lower_25,55357.43268864048,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,quantile_median_50,57923.981050274044,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,quantile_upper_75,60876.89937008368,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,quantile_upper_97_5,66987.64222938502,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,n_eff,179.77282536196634,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,R_hat,0.9988433861533476,2023-08-01,2023-10-15,Provisional,day
f92f22af-90fd-4b1c-9942-f70f06489708,District 11,Nisqually salmon 2023,BSS,E_sum,Chinook_Adult_AD_Kept|Released,n_div,2,2023-08-01,2023-10-15,Provisional,day
