interview_id,event_date,year,month,fishing_duration_minutes,angler_count,angler_minutes,trip_status,boat_used,trip_guided,boat_type,fishing_start_time,fishing_end_time,um_adult,ad_adult,released_adult,kept_adult,um_jack,ad_jack,released_jack,kept_jack,um_total,ad_total,released_total,kept_total,had.ad,had.um,had.release,had.kept
00000DC0-F155-493C-AEA0-A4A072AE0AC6,2022-09-23,2022,9,119,2,238,Complete,No,NA,NA,12:00:00,13:59:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
0000A1DC-BF07-4163-928A-578F0048A3F9,2023-07-29,2023,7,148,2,296,Complete,No,NA,NA,08:30:00,10:58:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
00039A36-5718-4387-9DF7-94323762ADFB,2023-10-05,2023,10,83,1,83,Complete,No,NA,NA,08:30:00,09:53:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
00052F2C-1066-4825-862A-0D6B7E26F349,2021-09-14,2021,9,140,1,140,Complete,No,NA,NA,16:00:00,18:20:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
000B5D69-9031-4D55-9888-2F4E893066F0,2021-08-25,2021,8,140,1,140,Complete,No,NA,NA,07:00:00,09:20:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
000E43C0-C7C8-4051-B2E7-9AD2016C9F4C,2022-10-01,2022,10,163,2,326,Complete,No,NA,NA,06:10:00,08:53:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
00137F87-BD33-4094-8AA3-5815C06C7156,2023-08-12,2023,8,141,1,141,Complete,No,NA,NA,07:30:00,09:51:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
001403B5-9B06-41B3-BF28-5715414B5FD1,2022-10-01,2022,10,225,2,450,Complete,No,NA,NA,10:00:00,13:45:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
0017FA1B-109E-445A-A50B-C488846AA2FD,2022-09-03,2022,9,201,2,402,Complete,No,NA,NA,05:45:00,09:06:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
001AF06C-1DF7-4960-8CBC-ED7917E6FF83,2021-09-15,2021,9,NA,2,NA,Incomplete,No,NA,NA,15:25:00,NA,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
00287F14-E1AD-4BA3-BC7D-E1D23BDAC88E,2022-08-06,2022,8,65,2,130,Complete,No,NA,NA,06:00:00,07:05:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
004604E0-99FB-4F8D-B207-EE1F9B1D711A,2023-09-14,2023,9,229,2,458,Complete,No,NA,NA,08:30:00,12:19:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
004B6C66-439C-4C7A-9549-E53809E0AE56,2021-09-18,2021,9,440,2,880,Complete,No,NA,NA,06:15:00,13:35:00,0,1,0,1,0,0,0,0,0,1,0,1,TRUE,FALSE,FALSE,TRUE
00728164-C849-4C0B-94D9-7C338AB11790,2021-09-17,2021,9,135,1,135,Complete,No,NA,NA,07:00:00,09:15:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
00784341-C58B-4E13-A3DE-5CA4450F71D6,2022-09-23,2022,9,213,1,213,Complete,No,NA,NA,09:00:00,12:33:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
007A7E45-2E42-43B5-AEB2-FE9DCD63C5DE,2021-09-20,2021,9,280,1,280,Complete,No,NA,NA,09:00:00,13:40:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
007C62AE-A8A7-4797-8779-6E91721707FF,2021-08-08,2021,8,140,1,140,Complete,No,NA,NA,06:00:00,08:20:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
0083B36E-C91F-43D5-925F-FFCBCA123849,2021-09-15,2021,9,245,1,245,Complete,No,NA,NA,05:50:00,09:55:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
00856720-424E-4184-A6AC-CE9671BF3CBE,2022-08-27,2022,8,106,1,106,Complete,No,NA,NA,11:00:00,12:46:00,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
