event_date,section_num,period,day_type,angler_final,est_cg,estimate_category,management_week,mean,standard_error_mean,standard_deviation,quantile_lower_2_5,quantile_lower_25,quantile_median_50,quantile_upper_75,quantile_upper_97_5,n_eff,R_hat
2023-08-01,1,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,1.13,0.09493763996571236,1.471026715593551,0,0,1,2,5,240.08457440340817,0.9934253318063518
2023-08-01,1,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,2.29,0.3016240710684332,3.243222542828592,0,0,1,3,10.050000000000011,115.61694916621492,1.0328994158448803
2023-08-01,2,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,0.36,0.17396907180177212,1.9075096237828315,0,0,0,0,3.0250000000000057,120.22350432560008,1.0008976594457986
2023-08-01,2,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,3.85,0.4436311219120906,6.124955132642559,0,1,2,5,15.050000000000011,190.61708000287297,0.996848490047373
2023-08-02,1,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,0.725,0.05567009106953544,1.0318422808076395,0,0,0,1,3,343.544322452288,0.990245496254664
2023-08-02,1,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,1.565,0.1455158191440246,2.2227184677629945,0,0,1,2,7.025000000000006,233.31813647101131,1.002109951083236
2023-08-02,2,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,0.28,0.08509280190452713,1.2243755458955128,0,0,0,0,3,207.03494036141268,0.9964518411453503
2023-08-02,2,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,3.57,0.3872973495013683,5.452867946706679,0,0,1,4,20.100000000000023,198.22613402987724,0.995208402228533
2023-08-03,1,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,0.83,0.08208263471427865,1.0895114390768903,0,0,1,1,4,176.1817877491546,1.0014244391965728
2023-08-03,1,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,2.5,0.19646398855487468,3.174964883278278,0,0,1,3,11,261.1631744499332,1.0012904975850818
2023-08-03,2,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,0.235,0.06617047251894936,0.7763948381613688,0,0,0,0,2,137.66920573598668,0.9962337200008566
2023-08-03,2,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,4.7,0.402486703427638,5.884994972737507,0,1,3,6,21.075000000000017,213.7908516072583,0.9925918011505624
2023-08-04,1,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,0.81,0.1003738181758605,1.1534958880807056,0,0,0,1,4,132.06605703973707,1.000581143182151
2023-08-04,1,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,2.455,0.2322873460661608,3.6378765411491383,0,0,1,3,12.075000000000015,245.270213089022,0.9903844674350084
2023-08-04,2,31,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,0.24,0.06173744962977966,0.6962931283611917,0,0,0,0,2.0250000000000057,127.19992308654231,1.004385862331792
2023-08-04,2,31,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,3.995,0.4059019987698691,5.644846896277353,0,1,2,5.25,18.02500000000001,193.40244249360228,1.0011209579904907
2023-08-05,1,31,weekend,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,2.405,0.19274716914122428,2.374693844324223,0,1,2,4,8,151.78862829143134,1.0121857562524006
2023-08-05,1,31,weekend,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,4.035,0.3581810035283452,4.9554573743444434,0,1,2,6,16,191.40901650612227,0.9938346130435768
2023-08-05,2,31,weekend,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,0.41,0.10502215478854662,1.075959312525829,0,0,0,0,4,104.96145641080696,1.0051333866154122
2023-08-05,2,31,weekend,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,31,12.165,1.0273534810771596,15.732940030714229,0,3,7,13,67.05000000000001,234.52005149434245,0.9934326070817672
2023-08-06,1,31,weekend,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-06,1,31,weekend,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-06,2,31,weekend,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-06,2,31,weekend,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-07,1,32,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-07,1,32,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-07,2,32,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-07,2,32,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-08,1,32,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-08,1,32,weekday,Boat,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
2023-08-08,2,32,weekday,Bank,Chinook_Adult_AD|UM|UNK_Kept|Released,catch,32,0,NA,0,0,0,0,0,0,NA,NA
