interview_id,catch_id,species,run,life_stage,fin_mark,sex,fork_length_cm,fate,fish_count,catch_group,event_date,water_body,year,month,week,fishing_duration_minutes,trip_guided,boat_type,boat_used,angler_count,angler_minutes,trip_status,fishing_start_time,fishing_end_time
05F91866-694F-4199-9D51-FF8ADDC74D33,128DA8F6-C060-4C34-A9F5-4827F403BAA5,Pink,NA,NA,UNK,NA,NA,Released,1,Pink_NA_UNK_Released,2021-10-15,Nisqually River,2021,10,42,270,NA,NA,No,1,270,Complete,07:00:00,11:30:00
2A9F79C1-7E12-436C-BA20-C2C75296BDF0,240E9718-9570-4310-81DC-6161C366706F,Pink,NA,NA,UNK,NA,NA,Released,1,Pink_NA_UNK_Released,2021-09-28,Nisqually River,2021,9,39,145,NA,NA,No,1,145,Complete,06:00:00,08:25:00
2596C288-6C56-448E-BAA0-3E6BCD72FD53,96FF764B-426F-497C-9CF4-C3291B8EC78E,Pink,NA,NA,UNK,NA,NA,Released,1,Pink_NA_UNK_Released,2021-09-26,Nisqually River,2021,9,39,155,NA,NA,No,1,155,Complete,10:00:00,12:35:00
6AFEF74F-EB4B-490A-81C1-EBE8E53FF91F,D1F84790-94EE-428E-B24C-4D66EC7DAA28,Pink,NA,NA,UNK,NA,NA,Kept,1,Pink_NA_UNK_Kept,2021-09-24,Nisqually River,2021,9,39,205,NA,NA,No,2,410,Complete,11:00:00,14:25:00
257F4FBF-1BC7-4E63-A9F1-DD12FF954622,9F5DA38F-C04F-4CCA-8C78-14E6D1E0727D,Pink,NA,NA,UNK,NA,NA,Released,2,Pink_NA_UNK_Released,2021-09-24,Nisqually River,2021,9,39,210,NA,NA,No,1,210,Complete,13:00:00,16:30:00
48CBB717-D431-4AC1-B2A8-5F8BD27F10F3,0D03D275-9C85-4296-B127-7F9A52B433FE,Pink,NA,NA,UNK,NA,NA,Released,2,Pink_NA_UNK_Released,2021-09-24,Nisqually River,2021,9,39,140,NA,NA,No,1,140,Complete,08:00:00,10:20:00
FFE90364-CE5C-41F3-A55C-878D5F95D424,61ABA103-C82A-43F5-8DF9-572E417817AA,Pink,NA,NA,UNK,NA,NA,Kept,1,Pink_NA_UNK_Kept,2021-09-23,Nisqually River,2021,9,38,195,NA,NA,No,1,195,Complete,07:30:00,10:45:00
18481794-331D-451E-8B12-12688242BD18,81BDFAC1-01D6-441B-B1D6-756C86CE6BC0,Pink,NA,NA,UNK,NA,NA,Released,1,Pink_NA_UNK_Released,2021-09-23,Nisqually River,2021,9,38,270,NA,NA,No,1,270,Complete,06:30:00,11:00:00
1366FB66-D976-40E4-8685-58C2FE185857,770DEE94-E0A4-4771-AAB9-EBD9A7A0B277,Pink,NA,NA,UNK,NA,NA,Released,4,Pink_NA_UNK_Released,2021-09-23,Nisqually River,2021,9,38,515,NA,NA,No,1,515,Complete,07:30:00,16:05:00
AC3682FB-9709-4F07-B21E-BC7598E21256,63FAABA1-7CFB-4A0E-BCAC-EFB8F4A52D12,Pink,NA,NA,UNK,NA,NA,Released,6,Pink_NA_UNK_Released,2021-09-20,Nisqually River,2021,9,38,245,NA,NA,No,1,245,Complete,13:00:00,17:05:00
