interview_id,species,life_stage,fin_mark,fate,event_date,water_body,fishing_duration_minutes,angler_count,year,month,week,angler_minutes,fish_count,management_week
004B6C66-439C-4C7A-9549-E53809E0AE56,Chinook,Adult,AD,Kept,2021-09-18,Nisqually River,440,2,2021,9,38,880,1,38
0091F6CF-FE8C-416F-9597-43CB99741255,Chinook,Adult,AD,Released,2021-09-18,Nisqually River,215,1,2021,9,38,215,1,38
0096C6FE-B52D-41E4-9ACC-044AD52C4B35,Chinook,Adult,UM,Released,2021-08-20,Nisqually River,440,1,2021,8,34,440,2,34
00B54FE2-930F-406A-ACB7-D692D6915EBC,Chinook,Adult,AD,Kept,2023-09-14,Nisqually River,120,1,2023,9,37,120,1,37
00D398E7-CA59-4C10-B830-DDAD997799EF,Chinook,Adult,AD,Kept,2021-09-08,Nisqually River,342,1,2021,9,36,342,1,37
01057F71-C162-48A2-98A5-3D7C94C3AD59,Chinook,Adult,UM,Released,2021-08-31,Nisqually River,355,2,2021,8,35,710,2,36
011CD530-9B44-4830-8BDC-8A8A2C1552A0,Chinook,Adult,AD,Kept,2022-09-14,Nisqually River,21,1,2022,9,37,21,1,38
014B661B-6C09-4460-9A33-80FB93BF8535,Chinook,Adult,AD,Released,2021-09-14,Nisqually River,355,1,2021,9,37,355,2,38
015DF834-CC09-4E55-8DB8-11C29671EFAD,Chinook,Adult,UM,Released,2021-08-28,Nisqually River,465,1,2021,8,35,465,4,35
01890CD8-6E2C-49FD-B616-1DE47A4CDE32,Chinook,Adult,AD,Kept,2021-08-14,Nisqually River,230,1,2021,8,33,230,2,33
01F3B31A-5CA2-4B20-95BB-A957C08AB4B9,Chinook,Jack,AD,Kept,2023-09-21,Nisqually River,282,2,2023,9,38,564,1,38
020DB346-5EC9-47C4-8D57-E256FE9CE21A,Chinook,Adult,UM,Released,2021-09-15,Nisqually River,60,1,2021,9,37,60,2,38
023E38DF-E8CA-4AC2-B443-E75DF187380D,Chinook,Adult,AD,Kept,2022-09-22,Nisqually River,297,1,2022,9,38,297,1,39
023E38DF-E8CA-4AC2-B443-E75DF187380D,Chinook,Adult,AD,Released,2022-09-22,Nisqually River,297,1,2022,9,38,297,2,39
024C2F0D-7C8B-40C6-81E4-F319D31A34C4,Chinook,Jack,AD,Kept,2023-08-26,Nisqually River,240,1,2023,8,34,240,1,34
02591949-ECC2-427B-82F4-09DEA708B2FC,Chinook,Adult,AD,Kept,2021-09-18,Nisqually River,210,2,2021,9,38,420,1,38
02AE0881-AC4B-44A5-B192-1DC8CEA0C258,Chinook,Adult,UM,Released,2021-09-14,Nisqually River,255,1,2021,9,37,255,2,38
02F98980-6617-4077-B2A5-2FAF280905EF,Chinook,Adult,UM,Released,2021-09-08,Nisqually River,270,1,2021,9,36,270,2,37
0310AA28-9B58-452B-988C-A50D65EB17A2,Chinook,Jack,AD,Kept,2023-09-16,Nisqually River,404,1,2023,9,37,404,1,37
03B6C72D-9913-4F0A-94AA-4E68B1A350D6,Chinook,Adult,AD,Kept,2023-09-16,Nisqually River,601,2,2023,9,37,1202,1,37
03C50E6E-DB0A-4933-98A4-9633E4894AAD,Chinook,Adult,UM,Released,2023-09-07,Nisqually River,180,2,2023,9,36,360,2,36
03D9CD93-32CC-4DF3-B50B-54E6F398C916,Chinook,Adult,AD,Kept,2021-08-16,Nisqually River,195,1,2021,8,33,195,1,34
0418E3CC-3FDD-45AE-B861-BFEC98D7959C,Chinook,Adult,AD,Kept,2023-09-07,Nisqually River,174,1,2023,9,36,174,1,36
041E2333-A88A-4B83-971A-33AC73D643F9,Chinook,Adult,AD,Kept,2021-08-28,Nisqually River,485,1,2021,8,35,485,1,35
