year,week,fin_mark,catch,catch_original,notes
2004,29,AD,2,2,NA
2004,29,UM,0,0,NA
2004,30,AD,11,11,NA
2004,30,UM,2,2,NA
2004,31,AD,18,18,NA
2004,31,UM,2,2,NA
2004,32,AD,116,116,NA
2004,32,UM,28,28,NA
2004,33,AD,308,308,NA
2004,33,UM,64,64,NA
2004,34,AD,383,383,NA
2004,34,UM,84,84,NA
2004,35,AD,397,397,NA
2004,35,UM,76,76,NA
2004,36,AD,432,432,NA
2004,36,UM,72,72,NA
2004,37,AD,245,245,NA
2004,37,UM,60,60,NA
2004,38,AD,336,336,NA
2004,38,UM,50,50,NA
2004,39,AD,83,83,NA
2004,39,UM,30,30,NA
2004,40,AD,147,147,NA
2004,40,UM,30,30,NA
2004,41,AD,20,20,NA
2004,41,UM,3,3,NA
2004,42,AD,0,NA,NA
2004,42,UM,0,NA,NA
2004,43,AD,0,NA,NA
2004,43,UM,0,NA,NA
2004,44,AD,0,NA,NA
2004,44,UM,0,NA,NA
2004,45,AD,0,NA,NA
2004,45,UM,0,NA,NA
2004,46,AD,0,NA,NA
2004,46,UM,0,NA,NA
2005,29,AD,2,2,NA
2005,29,UM,1,1,NA
2005,30,AD,7,7,NA
2005,30,UM,1,1,NA
2005,31,AD,27,27,NA
2005,31,UM,2,2,NA
2005,32,AD,73,73,NA
2005,32,UM,16,16,NA
2005,33,AD,225,225,NA
2005,33,UM,47,47,NA
2005,34,AD,508,508,NA
2005,34,UM,59,59,NA
2005,35,AD,1132,1132,NA
2005,35,UM,109,109,NA
2005,36,AD,1182,1182,NA
2005,36,UM,144,144,NA
2005,37,AD,954,954,NA
2005,37,UM,108,108,NA
2005,38,AD,868,868,NA
2005,38,UM,107,107,NA
2005,39,AD,0,NA,NA
2005,39,UM,0,NA,NA
2005,40,AD,0,NA,NA
2005,40,UM,0,NA,NA
2005,41,AD,8,8,NA
2005,41,UM,3,3,NA
2005,42,AD,11,11,NA
2005,42,UM,13,13,NA
2005,43,AD,0,NA,NA
2005,43,UM,0,NA,NA
2005,44,AD,0,NA,NA
2005,44,UM,0,NA,NA
2005,45,AD,0,NA,NA
2005,45,UM,0,NA,NA
2005,46,AD,0,NA,NA
2005,46,UM,0,NA,NA
2006,29,AD,15,15,NA
2006,29,UM,0,0,NA
2006,30,AD,34,34,NA
2006,30,UM,3,3,NA
2006,31,AD,152,152,NA
2006,31,UM,22,22,NA
2006,32,AD,978,978,NA
2006,32,UM,112,112,NA
2006,33,AD,1178,1178,NA
2006,33,UM,142,142,NA
2006,34,AD,1110,1110,NA
2006,34,UM,115,115,NA
2006,35,AD,1560,1560,NA
2006,35,UM,200,200,NA
2006,36,AD,1566,1566,NA
2006,36,UM,213,213,NA
2006,37,AD,1274,1274,NA
2006,37,UM,193,193,NA
2006,38,AD,24,24,NA
2006,38,UM,10,10,NA
2006,39,AD,22,22,NA
2006,39,UM,11,11,NA
2006,40,AD,130,130,NA
2006,40,UM,35,35,NA
2006,41,AD,107,107,NA
2006,41,UM,15,15,NA
2006,42,AD,8,8,NA
2006,42,UM,0,0,NA
2006,43,AD,0,NA,NA
2006,43,UM,0,NA,NA
2006,44,AD,0,NA,NA
2006,44,UM,0,NA,NA
2006,45,AD,0,NA,NA
2006,45,UM,0,NA,NA
2006,46,AD,0,NA,NA
2006,46,UM,0,NA,NA
2007,29,AD,0,NA,NA
2007,29,UM,0,NA,NA
2007,30,AD,51,51,NA
2007,30,UM,10,10,NA
2007,31,AD,239,239,NA
2007,31,UM,38,38,NA
2007,32,AD,651,651,NA
2007,32,UM,107,107,NA
