year,stat_week,day_interval,fate,fin_mark,catch
2021,31,7/25-7/31,released,ad,0
2021,31,7/25-7/31,released,um,0
2021,32,8/1-8/7,released,ad,7.5
2021,32,8/1-8/7,released,um,0
2021,33,8/8-8/14,released,ad,8.5
2021,33,8/8-8/14,released,um,22.3
2021,34,8/15-8/21,released,ad,28.3
2021,34,8/15-8/21,released,um,176.8
2021,35,8/22-08/28,released,ad,584.9
2021,35,8/22-08/28,released,um,73.6
2021,36,8/29-9/04,released,ad,527
2021,36,8/29-9/04,released,um,78
2021,37,9/05-9/11,released,ad,244.5
2021,37,9/05-9/11,released,um,50
2021,38,9/12-9/18,released,ad,164
2021,38,9/12-9/18,released,um,279.9
2021,39,9/19-9/25,released,ad,119.7
2021,39,9/19-9/25,released,um,110.6
2021,40,9/26-10/02,released,ad,222.7
2021,40,9/26-10/02,released,um,19.9
2021,41,10/03-10/09,released,ad,3.5
2021,41,10/03-10/09,released,um,1
2021,42,10/10-10/16,released,ad,0
2021,42,10/10-10/16,released,um,0
2021,43,10/17-10/23,released,ad,0
2021,43,10/17-10/23,released,um,2.1
2021,44,10/24-10/30,released,ad,0
2021,44,10/24-10/30,released,um,0
2021,45,10/33-11/06,released,ad,0
2021,45,10/33-11/06,released,um,0
2021,46,11/07-11/13,released,ad,0
2021,46,11/07-11/13,released,um,0
2022,31,7/24-7/30,released,ad,0
2022,31,7/24-7/30,released,um,0
2022,32,7/31-8/6,released,ad,0
2022,32,7/31-8/6,released,um,0
2022,33,8/7-8/13,released,ad,6.1
2022,33,8/7-8/13,released,um,0.4
2022,34,8/14-8/20,released,ad,13.2
2022,34,8/14-8/20,released,um,4
2022,35,8/21-8/27,released,ad,72.8
2022,35,8/21-8/27,released,um,15.6
2022,36,8/28-9/03,released,ad,146.4
2022,36,8/28-9/03,released,um,28.4
2022,37,09/04-9/10,released,ad,64.6
2022,37,09/04-9/10,released,um,50.9
2022,38,9/11-9/17,released,ad,143.6
2022,38,9/11-9/17,released,um,104.2
2022,39,9/18-9/24,released,ad,410.8
2022,39,9/18-9/24,released,um,265.6
2022,40,9/25-10/01,released,ad,31.4
2022,40,9/25-10/01,released,um,76.8
2022,41,10/02-10/08,released,ad,20.7
2022,41,10/02-10/08,released,um,2.8
2022,42,10/09-10/15,released,ad,0
2022,42,10/09-10/15,released,um,6.2
